Car,Gear,Ratio,Redline_RPM,Top_Speed_Redline_mph,Shift_Point_mph,Speed_Range
"Koenigsegg Jesko Absolut",1,3.85,8500,61,61,"0-61 mph"
"Koenigsegg Jesko Absolut",2,2.95,8500,79,79,"61-79 mph"
"Koenigsegg Jesko Absolut",3,2.32,8500,100,100,"79-100 mph"
"Koenigsegg Jesko Absolut",4,1.80,8500,128,128,"100-128 mph"
"Koenigsegg Jesko Absolut",5,1.39,8500,166,166,"128-166 mph"
"Koenigsegg Jesko Absolut",6,1.08,8500,210,210,"166-210 mph"
"Koenigsegg Jesko Absolut",7,0.85,8500,267,267,"210-267 mph"
"Koenigsegg Jesko Absolut",8,0.66,8500,310,310,"267-310 mph"
"Koenigsegg Jesko Absolut",9,0.51,8500,330,330,"310-330 mph"

"Bugatti Chiron Super Sport 300+",1,4.24,6900,56,56,"0-56 mph"
"Bugatti Chiron Super Sport 300+",2,2.55,6900,93,93,"56-93 mph"
"Bugatti Chiron Super Sport 300+",3,1.89,6900,125,125,"93-125 mph"
"Bugatti Chiron Super Sport 300+",4,1.45,6900,163,163,"125-163 mph"
"Bugatti Chiron Super Sport 300+",5,1.12,6900,201,201,"163-201 mph"
"Bugatti Chiron Super Sport 300+",6,0.89,6900,239,239,"201-239 mph"
"Bugatti Chiron Super Sport 300+",7,0.70,6900,305,305,"239-305 mph"

"Hennessey Venom F5",1,3.95,8500,60,60,"0-60 mph"
"Hennessey Venom F5",2,2.60,8500,91,91,"60-91 mph"
"Hennessey Venom F5",3,1.92,8500,124,124,"91-124 mph"
"Hennessey Venom F5",4,1.48,8500,164,164,"124-164 mph"
"Hennessey Venom F5",5,1.14,8500,209,209,"164-209 mph"
"Hennessey Venom F5",6,0.90,8500,262,262,"209-262 mph"
"Hennessey Venom F5",7,0.71,8500,311,311,"262-311 mph"

"SSC Tuatara",1,4.02,8800,63,63,"0-63 mph"
"SSC Tuatara",2,2.65,8800,95,95,"63-95 mph"
"SSC Tuatara",3,1.96,8800,128,128,"95-128 mph"
"SSC Tuatara",4,1.51,8800,165,165,"128-165 mph"
"SSC Tuatara",5,1.16,8800,202,202,"165-202 mph"
"SSC Tuatara",6,0.92,8800,245,245,"202-245 mph"
"SSC Tuatara",7,0.72,8800,295,295,"245-295 mph"

"Bugatti Bolide",1,4.20,7100,58,58,"0-58 mph"
"Bugatti Bolide",2,2.52,7100,95,95,"58-95 mph"
"Bugatti Bolide",3,1.87,7100,130,130,"95-130 mph"
"Bugatti Bolide",4,1.43,7100,170,170,"130-170 mph"
"Bugatti Bolide",5,1.10,7100,212,212,"170-212 mph"
"Bugatti Bolide",6,0.87,7100,258,258,"212-258 mph"
"Bugatti Bolide",7,0.69,7100,310,310,"258-310 mph"

"Koenigsegg Jesko Attack",1,3.85,8500,61,61,"0-61 mph"
"Koenigsegg Jesko Attack",2,2.95,8500,79,79,"61-79 mph"
"Koenigsegg Jesko Attack",3,2.32,8500,100,100,"79-100 mph"
"Koenigsegg Jesko Attack",4,1.80,8500,128,128,"100-128 mph"
"Koenigsegg Jesko Attack",5,1.39,8500,166,166,"128-166 mph"
"Koenigsegg Jesko Attack",6,1.08,8500,210,210,"166-210 mph"
"Koenigsegg Jesko Attack",7,0.85,8500,267,267,"210-267 mph"
"Koenigsegg Jesko Attack",8,0.66,8500,280,280,"267-280 mph"

"Pagani Huayra R",1,4.10,8700,55,55,"0-55 mph"
"Pagani Huayra R",2,2.70,8700,89,89,"55-89 mph"
"Pagani Huayra R",3,2.00,8700,120,120,"89-120 mph"
"Pagani Huayra R",4,1.55,8700,152,152,"120-152 mph"
"Pagani Huayra R",5,1.20,8700,183,183,"152-183 mph"
"Pagani Huayra R",6,0.95,8700,238,238,"183-238 mph"

"McLaren Speedtail",1,4.15,8500,52,52,"0-52 mph"
"McLaren Speedtail",2,2.68,8500,87,87,"52-87 mph"
"McLaren Speedtail",3,1.98,8500,117,117,"87-117 mph"
"McLaren Speedtail",4,1.52,8500,149,149,"117-149 mph"
"McLaren Speedtail",5,1.18,8500,185,185,"149-185 mph"
"McLaren Speedtail",6,0.93,8500,218,218,"185-218 mph"
"McLaren Speedtail",7,0.73,8500,250,250,"218-250 mph"

"Aston Martin Valkyrie",1,4.30,11100,46,46,"0-46 mph"
"Aston Martin Valkyrie",2,2.82,11100,78,78,"46-78 mph"
"Aston Martin Valkyrie",3,2.09,11100,110,110,"78-110 mph"
"Aston Martin Valkyrie",4,1.60,11100,142,142,"110-142 mph"
"Aston Martin Valkyrie",5,1.24,11100,175,175,"142-175 mph"
"Aston Martin Valkyrie",6,0.98,11100,210,210,"175-210 mph"
"Aston Martin Valkyrie",7,0.77,11100,250,250,"210-250 mph"

"Rimac Nevera",1,5.20,N/A,186,186,"0-186 mph"
"Rimac Nevera",2,3.80,N/A,258,258,"186-258 mph"
